expID,PreyCount,HuntEvents,Duration,vID
219,1,6,3.41463414634146,1
222,1,7,8.42439024390244,2
230,2,5,7.49024390243902,3
235,1,5,8.5609756097561,4
242,3,3,4.20487804878049,1
245,0,2,3.88536585365854,2
255,0,5,8.00975609756098,3
258,1,4,5.91707317073171,4
266,0,0,0,1
269,0,6,10.4268292682927,2
277,0,1,0.595121951219512,3
285,0,1,1.02682926829268,4
289,0,0,0,1
294,0,10,26.0463414634146,2
302,0,3,4.35121951219512,3
303,0,2,5.3609756097561,4
314,1,1,3.95121951219512,1
316,0,3,3.05609756097561,2
332,2,0,0,3
333,0,0,0,4
3390,1,5,5.66829268292683,1
3410,2,0,0,2
3450,0,5,9.4609756097561,3
3490,0,2,5.75121951219512,4
3500,5,0,0,1
3530,1,3,4.6609756097561,2
3570,9,1,2.02926829268293,3
3600,0,1,5.23170731707317,4
3630,8,2,2.23658536585366,1
3670,0,0,0,2
3700,0,13,50.2243902439024,3
3730,2,0,0,4
3750,0,1,1.91707317073171,1
3780,0,0,0,2
3810,0,6,13.6780487804878,3
3840,0,1,2.86829268292683,4
3870,1,10,45.090243902439,1
3910,0,10,16.3926829268293,2
3930,0,1,1.55609756097561,3
3960,0,6,16.9829268292683,4
3980,0,10,35.1073170731707,1
4020,0,1,3.41951219512195,2
4050,0,2,3.78780487804878,3
4090,0,15,30.2365853658537,4
4100,0,0,0,1
4150,0,1,2.62926829268293,2
4180,0,3,3.03170731707317,3
4210,0,0,0,4
4240,10,4,4.51707317073171,1
4270,3,2,4.60731707317073,2
4300,5,5,9.96341463414634,3
4330,2,4,13.0780487804878,4
4370,7,5,10.9951219512195,1
4400,9,8,14.3439024390244,2
4430,13,2,4.09024390243902,3
4460,8,2,6.11707317073171,4
4520,2,12,22.0048780487805,1
4550,17,17,26.5536585365854,2
4590,5,2,4.90975609756098,3
4620,2,1,2.46341463414634,4
